"Position" "Const" "Created" "Modified" "Description" "Title" "URL" "Title Type" "IMDb Rating" "Runtime (mins)" "Year" "Genres" "Num Votes" "Release Date" "Directors" "Your Rating" "Date Rated"
151 "tt0483703" 2013-01-27 2013-01-27 NA "Kheili dour, kheili nazdik" "https://www.imdb.com/title/tt0483703/" "movie" 7.6 121 2005 "Drama" 2066 2005-02-06 "Reza Mirkarimi" 7 2013-01-31
429 "tt0314331" 2018-05-01 2018-05-01 NA "Love Actually" "https://www.imdb.com/title/tt0314331/" "movie" 7.6 135 2003 "Comedy, Drama, Romance" 360881 2003-09-07 "Richard Curtis" 8 2018-05-01
307 "tt3540420" 2014-06-13 2014-06-13 NA "The Wedlock" "https://www.imdb.com/title/tt3540420/" "movie" 6.3 82 2014 "Drama" 554 2014-02-01 "Rouhollah Hejazi" 6 2014-06-13
304 "tt0944947" 2014-04-28 2014-04-28 NA "Game of Thrones" "https://www.imdb.com/title/tt0944947/" "tvSeries" 9.5 57 2011 "Action, Adventure, Drama, Fantasy, Romance" 1314804 2011-04-17 NA 10 2017-08-22
60 "tt0416320" 2013-01-27 2013-01-27 NA "Match Point" "https://www.imdb.com/title/tt0416320/" "movie" 7.7 124 2005 "Drama, Romance, Thriller" 183726 2005-05-12 "Woody Allen" 8 2013-02-14
45 "tt0457430" 2013-01-27 2013-01-27 NA "El laberinto del fauno" "https://www.imdb.com/title/tt0457430/" "movie" 8.2 118 2006 "Drama, Fantasy, War" 538750 2006-05-27 "Guillermo del Toro" 4 2013-01-31
222 "tt0118617" 2013-02-03 2013-02-03 NA "Anastasia" "https://www.imdb.com/title/tt0118617/" "movie" 7.1 94 1997 "Animation, Adventure, Drama, Family, Fantasy, Musical, Mystery, Romance" 97909 1997-11-14 "Don Bluth, Gary Goldman" 7 2013-02-03
420 "tt6257970" 2018-01-11 2018-01-11 NA "The End of the F***ing World" "https://www.imdb.com/title/tt6257970/" "tvSeries" 8.2 25 2017 "Comedy, Drama" 59952 2017-10-24 NA 8 2018-01-12
344 "tt0398286" 2015-11-20 2015-11-20 NA "Tangled" "https://www.imdb.com/title/tt0398286/" "movie" 7.8 100 2010 "Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance" 338835 2010-11-24 "Byron Howard, Nathan Greno" 7 2015-11-20
108 "tt0367594" 2013-01-27 2013-01-27 NA "Charlie and the Chocolate Factory" "https://www.imdb.com/title/tt0367594/" "movie" 6.7 115 2005 "Adventure, Comedy, Family, Fantasy" 364685 2005-07-10 "Tim Burton" 4 2013-02-01
63 "tt0241527" 2013-01-27 2013-01-27 NA "Harry Potter and the Sorcerer's Stone" "https://www.imdb.com/title/tt0241527/" "movie" 7.6 152 2001 "Adventure, Family, Fantasy" 522785 2001-11-04 "Chris Columbus" 6 2013-02-01
408 "tt5620076" 2017-08-06 2017-08-06 NA "Chance" "https://www.imdb.com/title/tt5620076/" "tvSeries" 7.7 60 2016 "Drama, Mystery, Thriller" 7141 2016-10-19 NA 6 2018-01-12
32 "tt0268978" 2013-01-27 2013-01-27 NA "A Beautiful Mind" "https://www.imdb.com/title/tt0268978/" "movie" 8.2 135 2001 "Biography, Drama" 717179 2001-12-13 "Ron Howard" 8 2013-01-31
155 "tt1284587" 2013-01-27 2013-01-27 NA "Shirin" "https://www.imdb.com/title/tt1284587/" "movie" 6.8 92 2008 "Drama" 1885 2008-09-30 "Abbas Kiarostami" 9 2016-07-05
356 "tt0040746" 2015-12-24 2015-12-24 NA "Rope" "https://www.imdb.com/title/tt0040746/" "movie" 8 80 1948 "Crime, Drama, Mystery, Thriller" 108347 1948-08-26 "Alfred Hitchcock" 9 2015-12-24
198 "tt0965386" 2013-01-29 2013-01-29 NA "Baaghe Mozaffar" "https://www.imdb.com/title/tt0965386/" "tvSeries" 6.5 NA 2006 "Comedy" 984 2006-11-01 NA 8 2013-02-01
110 "tt0399201" 2013-01-27 2013-01-27 NA "The Island" "https://www.imdb.com/title/tt0399201/" "movie" 6.9 136 2005 "Action, Adventure, Romance, Sci-Fi, Thriller" 280684 2005-07-11 "Michael Bay" 6 2013-02-01
388 "tt3538760" 2017-01-03 2017-01-03 NA "Sherlock: The Six Thatchers" "https://www.imdb.com/title/tt3538760/" "tvEpisode" 7.7 88 2017 "Crime, Drama, Mystery" 18632 2017-01-01 "Rachel Talalay" 9 2017-01-03
313 "tt0770762" 2014-11-06 2014-11-06 NA "Happy Tree Friends" "https://www.imdb.com/title/tt0770762/" "tvSeries" 7 74 1999 "Animation, Crime, Horror, Mystery, Thriller" 14952 1999-12-24 NA 8 2014-11-06
158 "tt0034583" 2013-01-27 2013-01-27 NA "Casablanca" "https://www.imdb.com/title/tt0034583/" "movie" 8.5 102 1942 "Drama, Romance, War" 445471 1942-11-26 "Michael Curtiz" 10 2013-01-31
290 "tt0056923" 2014-02-04 2014-02-04 NA "Charade" "https://www.imdb.com/title/tt0056923/" "movie" 8 113 1963 "Comedy, Mystery, Romance, Thriller" 56057 1963-12-05 "Stanley Donen" 10 2014-02-04
297 "tt0032976" 2014-02-25 2014-02-25 NA "Rebecca" "https://www.imdb.com/title/tt0032976/" "movie" 8.1 130 1940 "Drama, Mystery, Romance, Thriller" 103766 1940-03-21 "Alfred Hitchcock" 8 2014-02-25
197 "tt0907632" 2013-01-29 2013-01-29 NA "Chap dast" "https://www.imdb.com/title/tt0907632/" "movie" 3.2 NA 2006 "Comedy" 154 2006-02-03 "Arash Moayerian" 4 2013-01-31
133 "tt0108778" 2013-01-27 2013-01-27 NA "Friends" "https://www.imdb.com/title/tt0108778/" "tvSeries" 8.9 22 1994 "Comedy, Romance" 589586 1994-09-22 NA 10 2013-01-31
415 "tt3581932" 2017-10-15 2017-10-15 NA "And Then There Were None" "https://www.imdb.com/title/tt3581932/" "tvMiniSeries" 8 58 2015 "Crime, Drama, Mystery, Thriller" 20961 2015-12-26 NA 9 2017-10-15
300 "tt0050083" 2014-03-02 2014-03-02 NA "12 Angry Men" "https://www.imdb.com/title/tt0050083/" "movie" 8.9 96 1957 "Crime, Drama" 541082 1957-04-10 "Sidney Lumet" 9 2014-03-02
97 "tt0055254" 2013-01-27 2013-01-27 NA "One Hundred and One Dalmatians" "https://www.imdb.com/title/tt0055254/" "movie" 7.2 79 1961 "Animation, Adventure, Comedy, Family" 128084 1961-01-25 "Wolfgang Reitherman, Hamilton Luske, Clyde Geronimi" 9 2013-01-31
